total_dep_delay,scheduled,total_on_time_15,total_flight_distance_km,avg_tavg_dep,total_prcp_dep,avg_wdir_dep,avg_wpgt_dep,avg_pres_dep,avg_tavg_arr,total_prcp_arr,avg_snow_arr,avg_wdir_arr,avg_wspd_arr,avg_wpgt_arr,avg_pres_arr,total_tsun_arr,total_passengers
1529.0,-0.4577861708408542,-1.0573298861866947,-0.14028926161048216,-1.1087323733570305,-0.7173142688533756,-0.001763333719450526,1.4596154610740126,0.012890016837903626,1.469798605165522,-0.7434131376841406,-0.12092788266498782,0.6127346203955117,-0.09293696460745678,-1.2465546952583866,-0.8567072956164085,-0.19912713332555818,-0.7472067829969045
1206.0,-0.6067045637649875,-0.9542263114837304,-0.33264913464698204,-1.1891602402714576,-1.072110136125434,1.0354260514020006,-0.5083349988510998,1.870547092731611,1.5473473494046488,-0.7408308339477963,-0.12092788266498782,0.19789072455771925,0.16930363875060414,-1.2465546952583866,-0.9929699102387101,-0.19912713332555818,-0.8310245676930743
1544.0,0.1378874008556789,-0.9336055965431376,-0.0303693341610537,-0.7987257406029502,-0.7132449255728357,0.09246542287821508,0.9834509646200866,-0.91266597546037,1.4758715239914153,-0.6243689354386626,-0.12092788266498782,0.6312572918516918,0.04491931812188666,-1.2465546952583866,-0.9636231590611968,-0.19912713332555818,-0.7247280971672924
1380.0,-0.30886777791672093,-0.9954677413649161,-0.2776891709222678,-0.6449837096088461,-0.8846660112655722,-1.197768193643204,-0.28887292807784454,0.08294432990530196,1.5240990343819525,-0.6055181181633482,-0.12092788266498782,0.7112470277094174,0.24150535288383573,-1.2465546952583866,-1.0895784767339638,-0.19912713332555818,-0.6834042665051837
1624.0,-0.6067045637649875,-1.0573298861866947,-0.22272920719755357,0.1905218898885637,-0.9792782425381212,-1.5257322625393943,-1.000282203375417,1.1722911795946533,1.4890955383085989,-0.3408319851880443,-0.12092788266498782,0.6376616075733731,-0.42530447709897207,-1.2465546952583866,-0.7165444988224409,-0.19912713332555818,-0.6934426933277228
1675.0,-0.30886777791672093,-1.016088456305509,-0.0028893522986965076,1.3731027144133958,-1.0171740018381474,-1.7931121426559302,-1.0873830742669146,0.48652434667765476,1.2308377772951844,-0.06814071063007271,-0.12092788266498782,0.7498462888504267,0.21163789401482191,-1.2465546952583866,-0.34004207253345864,-0.19912713332555818,-0.5896712258677329
1915.0,-0.15994938499258765,-1.0779506011272875,0.024590629563660527,1.1829404580167093,-0.7307939684701633,1.5957085554753543,0.3115988303361884,-0.391264225250487,1.214294209633419,-0.340057294067141,-0.12092788266498782,0.6468678114232905,0.5244887567330488,-1.2465546952583866,-0.20747931490145943,-0.19912713332555818,-0.544775439649138
2014.0,-0.011030992068454367,-0.9542263114837304,0.10703057515073194,1.14929105783126,-0.7641117165795824,0.8262025790320987,-0.8637043671926138,-0.19689388427069435,1.1400291104649782,-0.5422516766229097,-0.12092788266498782,0.5482820429769163,0.8467991997307783,-1.2465546952583866,-0.3345847462907569,-0.19912713332555818,-0.5609724105345845
1313.0,-0.7556229566891208,-0.9748470264243233,-0.0028893522986965076,1.2507506474481775,-0.8577066120319965,-0.5323013063717346,-1.3589124558620005,0.18232963780344247,1.189148610876854,-0.036894835420305076,-0.12092788266498782,0.5829340850759462,0.47380942407749127,-1.2465546952583866,-0.49943090032518983,-0.19912713332555818,-1.006111975401532
1610.0,-0.6067045637649875,-1.0985713160678803,-0.25020918905991063,0.2768384295030096,-0.6364360711526481,-0.0730548271979478,-0.5224825722209109,-1.4356971788446418,1.3840221426501518,-0.08156869005906371,-0.12092788266498782,0.6835102741717166,-0.0996766601256001,-1.2465546952583866,-0.6667401988541111,-0.19912713332555818,-0.68697622206167
1669.0,-0.904541349613254,-1.0985713160678803,-0.22272920719755357,-0.7801087544451198,-0.6008293174479253,0.6632742368833071,1.5654908583098468,-1.8902254628675195,1.4677356813551263,-0.5151374873912932,-0.12092788266498782,0.387939203501062,-0.10741185418723212,-1.2465546952583866,-0.7974732788843739,-0.19912713332555818,-0.6879000036711062
1443.0,-0.7556229566891208,-1.0985713160678803,-0.305169152784625,-1.0536478985537445,-0.9617291996407935,0.8924283044104832,0.8613628920518036,-0.2987564948749535,1.5415926515252323,-0.7400561428268929,-0.12092788266498782,0.2269131289935465,-0.7822053088303296,-1.2465546952583866,-0.783822641283554,-0.19912713332555818,-0.7452360488967741
372.0,-0.7556229566891208,-0.9336055965431376,-1.1223017864220741,-0.8507647506157163,-1.011832988782439,0.34991184715398066,1.7651508440590107,0.012459664923001464,-0.9259435799740842,-0.477694083214299,-0.12092788266498782,0.26024967462929444,-0.6538504972371472,0.352560836021471,0.6503300601232125,-0.19912713332555818,-1.2429695800609508
204.0,-0.904541349613254,-0.9129848816025448,-1.1468941740517038,-1.1060121523790905,-1.11610991034627,0.9110777458204375,0.7892868010175147,1.9671180624370619,-0.8499592196245069,-0.6739491671764756,-0.12092788266498782,0.048464561178660624,-0.34664062030920356,0.3240412566283803,1.3710280085574114,-0.19912713332555818,-1.2507909310208432
376.0,-0.904541349613254,-0.9336055965431376,-1.073117011162815,-0.7198918968992672,-0.9513015074844106,0.7324357281040297,1.9346592408549081,-1.3064255036330177,-0.5214386028189828,-0.7493524362777328,-0.12092788266498782,-2.278230226869277,1.0182690155396072,1.010109604565419,-0.3063753404364272,-0.19912713332555818,-1.2121152743057846
