route_iata_code,Month,total_flights,departures,arrivals,landed,active,scheduled,total_dep_delay,total_dep_delay_15,total_on_time_15,short_delay,medium_delay,long_delay,total_calc_sft,total_calc_aft,total_flight_distance_km,commercial,private,cargo,morning_dep,afternoon_dep,evening_dep,morning_arr,afternoon_arr,evening_arr,avg_tavg_dep,total_prcp_dep,avg_snow_dep,avg_wdir_dep,avg_wspd_dep,avg_wpgt_dep,avg_pres_dep,total_tsun_dep,avg_tavg_arr,total_prcp_arr,avg_snow_arr,avg_wdir_arr,avg_wspd_arr,avg_wpgt_arr,avg_pres_arr,total_tsun_arr,total_passengers
BRU-ADB,2023-03,18,9,9,9,9,0,376.0,10,8,8,10,0,3600.0,3383.0,40716.0,18,0,0,0,18,0,0,6,12,8.244444444444445,66.4,0.0,213.0,20.733333333333334,45.68888888888889,1007.8888888888889,0.0,11.622222222222222,7.2,0.0,80.22222222222223,17.333333333333332,42.577777777777776,1013.5222222222224,0.0,2457
BRU-ADB,2023-04,30,15,15,14,15,1,848.0,22,8,8,19,3,5962.0,5682.0,67860.0,30,0,0,2,28,0,2,11,17,9.506666666666666,110.2,0.0,151.0,13.146666666666667,35.68,1014.9466666666667,0.0,14.206666666666667,50.6,0.0,170.66666666666666,14.26,41.480000000000004,1011.6,0.0,5221
BRU-ADB,2023-05,46,23,23,17,23,6,1769.0,42,2,4,37,5,9044.0,8845.0,104052.0,46,0,0,0,46,0,0,25,21,13.282608695652174,142.8,0.0,158.30434782608697,10.21304347826087,29.717391304347824,1020.4869565217392,0.0,18.55217391304348,81.6,0.0,194.69565217391303,14.595652173913043,37.130434782608695,1012.7391304347826,0.0,9389
BRU-ADB,2023-06,51,25,26,21,25,5,2375.0,48,1,3,39,9,10086.0,9712.0,115362.0,51,0,0,0,41,10,0,17,34,19.711764705882352,12.2,0.0,154.3921568627451,9.372549019607844,27.884313725490195,1017.3490196078432,0.0,24.619607843137253,154.2,0.0,217.5686274509804,16.58823529411765,42.194117647058825,1009.756862745098,0.0,9744
BRU-ADB,2023-07,144,71,73,55,71,18,5820.0,127,15,17,104,23,27780.0,26514.0,325728.0,144,0,0,10,108,26,10,59,75,18.42013888888889,475.5,0.0,232.625,14.810416666666665,37.575,1012.8006944444444,0.0,29.86111111111111,4.2,0.0,230.83333333333334,21.26388888888889,47.806250000000006,1009.7687500000001,0.0,23644
BRU-ADB,2023-08,148,73,75,61,73,14,4911.0,115,27,33,101,14,28950.0,27902.0,334776.0,148,0,0,8,121,19,8,60,80,18.00743243243243,476.6,0.0,214.46621621621622,11.769594594594594,30.74527027027027,1014.0337837837837,0.0,28.300675675675677,4.199999999999999,0.0,131.75,15.377702702702702,41.854729729729726,1008.2283783783784,0.0,24787
BRU-ADB,2023-09,84,42,42,40,42,2,2197.0,63,17,21,61,2,17188.0,16160.0,190008.0,84,0,0,10,65,9,10,28,46,18.845238095238095,203.6,0.0,156.3095238095238,8.845238095238095,24.164285714285715,1017.1642857142857,0.0,26.235714285714288,39.0,0.0,190.78571428571428,21.333333333333332,43.97857142857143,1011.8785714285715,0.0,14523
BRU-ADB,2023-10,56,28,28,25,28,3,2186.0,46,8,10,36,10,11456.0,10652.0,126672.0,56,0,0,6,48,2,6,22,28,13.928571428571429,207.4,0.0,202.21428571428572,14.017857142857142,33.05714285714286,1011.6714285714286,0.0,19.65357142857143,17.4,0.0,127.75,12.742857142857144,35.839285714285715,1015.9964285714286,0.0,9894
BRU-ADB,2023-11,22,11,11,10,11,1,743.0,18,4,4,16,2,4400.0,4080.0,49764.0,22,0,0,0,22,0,0,13,9,8.918181818181818,130.0,0.0,229.27272727272728,21.09090909090909,45.627272727272725,1005.2545454545453,0.0,15.109090909090908,39.4,0.0,171.27272727272728,8.69090909090909,25.6,1015.3181818181819,0.0,3350
BRU-ADB,2023-12,21,10,11,10,10,1,558.0,17,4,4,16,1,4200.0,3910.0,47502.0,21,0,0,0,21,0,0,8,13,6.876190476190477,40.0,0.0,205.33333333333334,20.085714285714285,42.766666666666666,1013.8238095238095,0.0,11.5,38.6,0.0,182.71428571428572,10.019047619047619,26.80952380952381,1017.2,0.0,3630
