name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Brussels,Belgium",2023-08-21,25.5,16.4,21.3,25.5,16.4,21.3,14.1,65.4,0,0,0,,0,0,28.7,10.4,322,1023.4,19,11,269.5,23.4,8,10,2023-08-21T06:38:36,2023-08-21T20:52:01,0.17,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-22,24.7,15.3,20,24.7,15.3,20,15,75,0.001,100,4.17,rain,0,0,25.2,15.6,274.9,1021.4,51.7,10.8,178.8,15.3,8,10,2023-08-22T06:40:09,2023-08-22T20:49:58,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-23,26.5,14.3,20.6,26.5,14.3,20.6,14.8,72.4,1.269,100,4.17,rain,0,0,21.6,7.9,320.4,1020.2,10.3,11,236.3,20.6,8,10,2023-08-23T06:41:42,2023-08-23T20:47:54,0.24,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-24,22.7,17.9,20.4,22.7,17.9,20.4,17.3,82.8,4.004,100,20.83,rain,0,0,52.8,28.4,154.5,1014,54.7,10.6,80.4,6.8,3,10,2023-08-24T06:43:15,2023-08-24T20:45:50,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-25,21.2,16.7,19.1,21.2,16.7,19.1,17.6,91.4,14.46,100,37.5,rain,0,0,28.9,13.8,220.2,1009,71.8,10,103.8,9,9,10,2023-08-25T06:44:48,2023-08-25T20:43:44,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-26,20.7,13.1,16.2,20.7,13.1,16.2,11.8,76.4,4.105,100,16.67,rain,0,0,43.1,22.3,212.1,1011.1,39.4,11.1,207.5,18,9,10,2023-08-26T06:46:21,2023-08-26T20:41:38,0.34,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-27,19.3,13.2,15.6,19.3,13.2,15.6,12.3,82.5,4.289,100,20.83,rain,0,0,36.1,18.5,233.1,1010.5,51.7,10.6,164.3,14.3,7,10,2023-08-27T06:47:53,2023-08-27T20:39:31,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-28,20,11.7,15.7,20,11.7,15.7,12,80.1,0.596,100,8.33,rain,0,0,28.7,16.4,285,1013.1,69.4,10.9,167.5,14.4,10,10,2023-08-28T06:49:26,2023-08-28T20:37:24,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-29,19.3,12.3,15.3,19.3,12.3,15.3,12.3,83.6,0.26,100,12.5,rain,0,0,25.4,11.9,271.1,1012.6,61.2,9.5,97.8,8.6,3,10,2023-08-29T06:50:59,2023-08-29T20:35:15,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-30,18,11.7,14.3,18,11.7,14.3,11.3,83.6,5.145,100,29.17,rain,0,0,36.1,21.2,232.4,1008.2,80.6,9.5,77.8,6.9,4,10,2023-08-30T06:52:32,2023-08-30T20:33:06,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-08-31,19.1,10.7,14.3,19.1,10.7,14.3,11.6,85.1,1.025,100,12.5,rain,0,0,41,18.7,210.7,1011.4,62.8,10,173.5,15,9,10,2023-08-31T06:54:05,2023-08-31T20:30:56,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-01,22.3,13.5,17.5,22.3,13.5,17.5,15.9,91.1,25.962,100,33.33,rain,0,0,25.4,11.6,201.6,1012.4,82.6,8.6,113.3,9.7,7,10,2023-09-01T06:55:38,2023-09-01T20:28:46,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-02,23.9,15.5,19.5,23.9,15.5,19.5,16.8,85.6,0.085,100,8.33,rain,0,0,28.4,13.5,75,1019.6,68.2,9.7,165.5,14.5,9,10,2023-09-02T06:57:10,2023-09-02T20:26:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-03,24.1,15.1,19.2,24.1,15.1,19.2,15.8,82.5,0,0,0,,0,0,28.4,10.5,79.5,1026.8,36.5,6.6,204.5,17.7,7,10,2023-09-03T06:58:43,2023-09-03T20:24:24,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-04,25.6,12.8,19.3,25.6,12.8,19.3,14.2,74.7,0,0,0,,0,0,28.8,13.5,82.3,1024.2,28,9.5,222.4,19.2,8,10,2023-09-04T07:00:16,2023-09-04T20:22:12,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,F4778,06447099999,06458099999,06451099999"
