total_dep_delay,landed,active,scheduled,total_on_time_15,tavg_dep,prcp_dep,wdir_dep,wpgt_dep,pres_dep,tavg_arr,prcp_arr,wdir_arr,wspd_arr,wpgt_arr,pres_arr
242.0,,,,,,,,,,,,,,,
388.0,,,,,,,,,,,,,,,
422.0,,,,,,,,,,,,,,,
286.0,,,,,,,,,,,,,,,
250.0,,,,,,,,,,,,,,,
206.0,,,,,,,,,,,,,,,
298.0,,,,,,,,,,,,,,,
260.0,,,,,,,,,,,,,,,
280.0,,,,,,,,,,,,,,,
537.0,,,,,,,,,,,,,,,
277.0,,,,,,,,,,,,,,,
218.0,,,,,,,,,,,,,,,
226.0,,,,,,,,,,,,,,,
236.0,,,,,,,,,,,,,,,
218.0,,,,,,,,,,,,,,,
499.0,,,,,,,,,,,,,,,
294.0,,,,,,,,,,,,,,,
357.0,,,,,,,,,,,,,,,
595.0,,,,,,,,,,,,,,,
505.0,,,,,,,,,,,,,,,
372.0,,,,,,,,,,,,,,,
594.0,,,,,,,,,,,,,,,
460.0,,,,,,,,,,,,,,,
371.0,,,,,,,,,,,,,,,
235.0,,,,,,,,,,,,,,,
579.0,,,,,,,,,,,,,,,
597.0,,,,,,,,,,,,,,,
917.0,,,,,,,,,,,,,,,
508.0,,,,,,,,,,,,,,,
453.0,,,,,,,,,,,,,,,
338.0,,,,,,,,,,,,,,,
298.0,,,,,,,,,,,,,,,
280.0,,,,,,,,,,,,,,,
463.0,,,,,,,,,,,,,,,
172.0,,,,,,,,,,,,,,,
434.0,,,,,,,,,,,,,,,
338.0,,,,,,,,,,,,,,,
513.0,,,,,,,,,,,,,,,
246.0,,,,,,,,,,,,,,,
320.0,,,,,,,,,,,,,,,
456.0,,,,,,,,,,,,,,,
338.0,,,,,,,,,,,,,,,
272.0,,,,,,,,,,,,,,,
261.0,,,,,,,,,,,,,,,
248.0,,,,,,,,,,,,,,,
314.0,,,,,,,,,,,,,,,
578.0,,,,,,,,,,,,,,,
368.0,,,,,,,,,,,,,,,
472.0,,,,,,,,,,,,,,,
401.0,,,,,,,,,,,,,,,
282.0,,,,,,,,,,,,,,,
352.0,,,,,,,,,,,,,,,
304.0,,,,,,,,,,,,,,,
296.0,,,,,,,,,,,,,,,
302.0,,,,,,,,,,,,,,,
312.0,,,,,,,,,,,,,,,
557.0,,,,,,,,,,,,,,,
476.0,,,,,,,,,,,,,,,
441.0,,,,,,,,,,,,,,,
428.0,,,,,,,,,,,,,,,
543.0,,,,,,,,,,,,,,,
408.0,,,,,,,,,,,,,,,
188.0,,,,,,,,,,,,,,,
315.0,,,,,,,,,,,,,,,
418.0,,,,,,,,,,,,,,,
386.0,,,,,,,,,,,,,,,
959.0,,,,,,,,,,,,,,,
641.0,,,,,,,,,,,,,,,
824.0,,,,,,,,,,,,,,,
442.0,,,,,,,,,,,,,,,
375.0,,,,,,,,,,,,,,,
385.0,,,,,,,,,,,,,,,
506.0,,,,,,,,,,,,,,,
644.0,,,,,,,,,,,,,,,
302.0,,,,,,,,,,,,,,,
376.0,,,,,,,,,,,,,,,
205.0,,,,,,,,,,,,,,,
286.0,,,,,,,,,,,,,,,
338.0,,,,,,,,,,,,,,,
328.0,,,,,,,,,,,,,,,
882.0,,,,,,,,,,,,,,,
617.0,,,,,,,,,,,,,,,
836.0,,,,,,,,,,,,,,,
618.0,,,,,,,,,,,,,,,
961.0,,,,,,,,,,,,,,,
869.0,,,,,,,,,,,,,,,
825.0,,,,,,,,,,,,,,,
536.0,,,,,,,,,,,,,,,
614.0,,,,,,,,,,,,,,,
734.0,,,,,,,,,,,,,,,
609.0,,,,,,,,,,,,,,,
512.0,,,,,,,,,,,,,,,
422.0,,,,,,,,,,,,,,,
537.0,,,,,,,,,,,,,,,
583.0,,,,,,,,,,,,,,,
714.0,,,,,,,,,,,,,,,
474.0,,,,,,,,,,,,,,,
278.0,,,,,,,,,,,,,,,
496.0,,,,,,,,,,,,,,,
435.0,,,,,,,,,,,,,,,
509.0,,,,,,,,,,,,,,,
614.0,,,,,,,,,,,,,,,
738.0,,,,,,,,,,,,,,,
296.0,,,,,,,,,,,,,,,
476.0,,,,,,,,,,,,,,,
430.0,,,,,,,,,,,,,,,
703.0,,,,,,,,,,,,,,,
478.0,,,,,,,,,,,,,,,
865.0,,,,,,,,,,,,,,,
767.0,,,,,,,,,,,,,,,
957.0,,,,,,,,,,,,,,,
338.0,,,,,,,,,,,,,,,
529.0,,,,,,,,,,,,,,,
410.0,,,,,,,,,,,,,,,
340.0,,,,,,,,,,,,,,,
406.0,,,,,,,,,,,,,,,
482.0,,,,,,,,,,,,,,,
515.0,,,,,,,,,,,,,,,
256.0,,,,,,,,,,,,,,,
320.0,,,,,,,,,,,,,,,
710.0,,,,,,,,,,,,,,,
404.0,,,,,,,,,,,,,,,
504.0,,,,,,,,,,,,,,,
395.0,,,,,,,,,,,,,,,
310.0,,,,,,,,,,,,,,,
288.0,,,,,,,,,,,,,,,
366.0,,,,,,,,,,,,,,,
573.0,,,,,,,,,,,,,,,
276.0,,,,,,,,,,,,,,,
512.0,,,,,,,,,,,,,,,
340.0,,,,,,,,,,,,,,,
630.0,,,,,,,,,,,,,,,
503.0,,,,,,,,,,,,,,,
388.0,,,,,,,,,,,,,,,
394.0,,,,,,,,,,,,,,,
264.0,,,,,,,,,,,,,,,
676.0,,,,,,,,,,,,,,,
496.0,,,,,,,,,,,,,,,
348.0,,,,,,,,,,,,,,,
384.0,,,,,,,,,,,,,,,
443.0,,,,,,,,,,,,,,,
598.0,,,,,,,,,,,,,,,
381.0,,,,,,,,,,,,,,,
410.0,,,,,,,,,,,,,,,
652.0,,,,,,,,,,,,,,,
849.0,,,,,,,,,,,,,,,
368.0,,,,,,,,,,,,,,,
429.0,,,,,,,,,,,,,,,
350.0,,,,,,,,,,,,,,,
445.0,,,,,,,,,,,,,,,
779.0,,,,,,,,,,,,,,,
960.0,,,,,,,,,,,,,,,
721.0,,,,,,,,,,,,,,,
214.0,,,,,,,,,,,,,,,
414.0,,,,,,,,,,,,,,,
440.0,,,,,,,,,,,,,,,
659.0,,,,,,,,,,,,,,,
621.0,,,,,,,,,,,,,,,
320.0,,,,,,,,,,,,,,,
482.0,,,,,,,,,,,,,,,
260.0,,,,,,,,,,,,,,,
833.0,,,,,,,,,,,,,,,
666.0,,,,,,,,,,,,,,,
441.0,,,,,,,,,,,,,,,
404.0,,,,,,,,,,,,,,,
532.0,,,,,,,,,,,,,,,
509.0,,,,,,,,,,,,,,,
296.0,,,,,,,,,,,,,,,
867.0,,,,,,,,,,,,,,,
733.0,,,,,,,,,,,,,,,
553.0,,,,,,,,,,,,,,,
605.0,,,,,,,,,,,,,,,
801.0,,,,,,,,,,,,,,,
726.0,,,,,,,,,,,,,,,
273.0,,,,,,,,,,,,,,,
448.0,,,,,,,,,,,,,,,
462.0,,,,,,,,,,,,,,,
508.0,,,,,,,,,,,,,,,
791.0,,,,,,,,,,,,,,,
844.0,,,,,,,,,,,,,,,
612.0,,,,,,,,,,,,,,,
374.0,,,,,,,,,,,,,,,
292.0,,,,,,,,,,,,,,,
573.0,,,,,,,,,,,,,,,
326.0,,,,,,,,,,,,,,,
439.0,,,,,,,,,,,,,,,
544.0,,,,,,,,,,,,,,,
502.0,,,,,,,,,,,,,,,
360.0,,,,,,,,,,,,,,,
591.0,,,,,,,,,,,,,,,
530.0,,,,,,,,,,,,,,,
474.0,,,,,,,,,,,,,,,
658.0,,,,,,,,,,,,,,,
368.0,,,,,,,,,,,,,,,
804.0,,,,,,,,,,,,,,,
222.0,,,,,,,,,,,,,,,
662.0,,,,,,,,,,,,,,,
489.0,,,,,,,,,,,,,,,
363.0,,,,,,,,,,,,,,,
495.0,,,,,,,,,,,,,,,
667.0,,,,,,,,,,,,,,,
504.0,,,,,,,,,,,,,,,
210.0,,,,,,,,,,,,,,,
465.0,,,,,,,,,,,,,,,
630.0,,,,,,,,,,,,,,,
525.0,,,,,,,,,,,,,,,
621.0,,,,,,,,,,,,,,,
430.0,,,,,,,,,,,,,,,
478.0,,,,,,,,,,,,,,,
275.0,,,,,,,,,,,,,,,
659.0,,,,,,,,,,,,,,,
579.0,,,,,,,,,,,,,,,
560.0,,,,,,,,,,,,,,,
392.0,,,,,,,,,,,,,,,
364.0,,,,,,,,,,,,,,,
428.0,,,,,,,,,,,,,,,
235.0,,,,,,,,,,,,,,,
198.0,,,,,,,,,,,,,,,
405.0,,,,,,,,,,,,,,,
308.0,,,,,,,,,,,,,,,
305.0,,,,,,,,,,,,,,,
384.0,,,,,,,,,,,,,,,
312.0,,,,,,,,,,,,,,,
303.0,,,,,,,,,,,,,,,
320.0,,,,,,,,,,,,,,,
233.0,,,,,,,,,,,,,,,
307.0,,,,,,,,,,,,,,,
270.0,,,,,,,,,,,,,,,
386.0,,,,,,,,,,,,,,,
354.0,,,,,,,,,,,,,,,
218.0,,,,,,,,,,,,,,,
284.0,,,,,,,,,,,,,,,
258.0,,,,,,,,,,,,,,,
190.0,,,,,,,,,,,,,,,
376.0,,,,,,,,,,,,,,,
771.0,,,,,,,,,,,,,,,
833.0,,,,,,,,,,,,,,,
236.0,,,,,,,,,,,,,,,
401.0,,,,,,,,,,,,,,,
603.0,,,,,,,,,,,,,,,
396.0,,,,,,,,,,,,,,,
495.0,,,,,,,,,,,,,,,
410.0,,,,,,,,,,,,,,,
537.0,,,,,,,,,,,,,,,
557.0,,,,,,,,,,,,,,,
676.0,,,,,,,,,,,,,,,
880.0,,,,,,,,,,,,,,,
452.0,,,,,,,,,,,,,,,
334.0,,,,,,,,,,,,,,,
462.0,,,,,,,,,,,,,,,
542.0,,,,,,,,,,,,,,,
252.0,,,,,,,,,,,,,,,
472.0,,,,,,,,,,,,,,,
401.0,,,,,,,,,,,,,,,
349.0,,,,,,,,,,,,,,,
409.0,,,,,,,,,,,,,,,
630.0,,,,,,,,,,,,,,,
678.0,,,,,,,,,,,,,,,
211.0,,,,,,,,,,,,,,,
542.0,,,,,,,,,,,,,,,
415.0,,,,,,,,,,,,,,,
487.0,,,,,,,,,,,,,,,
387.0,,,,,,,,,,,,,,,
596.0,,,,,,,,,,,,,,,
547.0,,,,,,,,,,,,,,,
312.0,,,,,,,,,,,,,,,
414.0,,,,,,,,,,,,,,,
290.0,,,,,,,,,,,,,,,
250.0,,,,,,,,,,,,,,,
352.0,,,,,,,,,,,,,,,
573.0,,,,,,,,,,,,,,,
436.0,,,,,,,,,,,,,,,
259.0,,,,,,,,,,,,,,,
600.0,,,,,,,,,,,,,,,
459.0,,,,,,,,,,,,,,,
348.0,,,,,,,,,,,,,,,
506.0,,,,,,,,,,,,,,,
