total_flights,departures,arrivals,landed,active,scheduled,total_dep_delay_15,total_on_time_15,short_delay,medium_delay,long_delay,total_calc_sft,total_calc_aft,total_flight_distance_km,commercial,private,cargo,morning_dep,afternoon_dep,evening_dep,morning_arr,afternoon_arr,evening_arr,avg_tavg_dep,total_prcp_dep,avg_wdir_dep,avg_wspd_dep,avg_wpgt_dep,avg_pres_dep,avg_tavg_arr,total_prcp_arr,avg_snow_arr,avg_wdir_arr,avg_wspd_arr,avg_wpgt_arr,avg_pres_arr,total_tsun_arr,total_passengers,BRU-ACC,BRU-ADB,BRU-AGP,BRU-ALC,BRU-AMS,BRU-ARN,BRU-ATH,BRU-AUH,BRU-AYT,BRU-BCN,BRU-BER,BRU-BIO,BRU-BUD,BRU-CDG,BRU-CMN,BRU-CPH,BRU-DJE,BRU-DLA,BRU-DOH,BRU-DUB,BRU-DXB,BRU-EWR,BRU-FAO,BRU-FCO,BRU-FRA,BRU-GOT,BRU-GVA,BRU-HAM,BRU-HEL,BRU-HRG,BRU-IAD,BRU-JFK,BRU-LHR,BRU-LIN,BRU-LIS,BRU-LPA,BRU-LYS,BRU-MAD,BRU-MAN,BRU-MLA,BRU-MRS,BRU-MUC,BRU-MXP,BRU-NCE,BRU-NDR,BRU-NSI,BRU-OPO,BRU-OSL,BRU-OTP,BRU-PEK,BRU-PRG,BRU-RAK,BRU-RIX,BRU-SAW,BRU-TLS,BRU-TLV,BRU-TNG,BRU-TUN,BRU-VCE,BRU-VIE,BRU-VLC,BRU-WAW,BRU-YUL,BRU-ZRH
0.06932409012131716,0.0706713780918728,0.06802721088435373,0.06315789473684211,0.0706713780918728,0.05,0.08823529411764705,0.008,0.022388059701492536,0.08757062146892655,0.06329113924050633,0.18249966232947637,0.1842151315405705,0.18537575861825625,0.06932409012131716,0.0,0.0,0.13523131672597863,0.018957345971563982,0.0,0.0,0.15609756097560976,0.04524886877828055,0.13272302963906824,0.06549243363929547,0.5188067682018841,0.6963257471894707,0.7777021919879064,0.5596343077683663,0.793931999410727,0.003215107621497225,0.0,0.5837565572456093,0.2314360334963934,0.0,0.4188608775312588,0.0,0.10514835129926511,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05719237435008665,0.06360424028268552,0.05102040816326531,0.04912280701754386,0.06360424028268552,0.03333333333333333,0.061274509803921566,0.028,0.03731343283582089,0.059322033898305086,0.05063291139240506,0.15090495700328665,0.15314705710785745,0.1528602922150477,0.053726169844020795,0.0,0.043478260869565216,0.11743772241992882,0.009478672985781991,0.0,0.0,0.11707317073170731,0.0497737556561086,0.10630944936313075,0.007814438104688662,0.7363364958247974,0.3114340553879902,0.42376417233560093,0.8522128127840816,0.8087872183168199,0.003553540002707459,0.0,0.5140079709598211,0.2585606500290192,0.0,0.39674913700979175,0.0,0.09073677968614327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07625649913344887,0.07420494699646643,0.07823129251700679,0.05964912280701754,0.07420494699646643,0.11666666666666667,0.09068627450980392,0.032,0.033582089552238806,0.08757062146892655,0.0759493670886076,0.20194948448966726,0.20622994808376596,0.20395602513437544,0.07279029462738301,0.0,0.043478260869565216,0.1494661921708185,0.018957345971563982,0.0,0.0,0.16097560975609757,0.05882352941176471,0.23453332741850774,0.06615397337302571,0.5382471488763637,0.507719268964366,0.692063492063492,0.41386047682344795,0.7950953262891018,0.01881684039528902,0.0,0.5868708133821148,0.24569507179086025,0.0,0.4015113217732633,0.0,0.10901332090895613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060658578856152515,0.06007067137809187,0.06122448979591837,0.052631578947368425,0.06007067137809187,0.06666666666666667,0.0784313725490196,0.02,0.018656716417910446,0.08192090395480225,0.0379746835443038,0.1617892035477916,0.16365863617803186,0.1621504254731073,0.060658578856152515,0.0,0.0,0.12811387900355872,0.004739336492890996,0.0,0.0,0.16585365853658537,0.013574660633484163,0.285024253427637,0.03828661208963863,0.26796867137308744,0.20402552264356477,0.46323466323466334,0.5706677683855759,0.8043337766492795,0.02128739677812373,0.0,0.6003196577532791,0.26602876817618554,0.0,0.3810721770423484,0.0,0.11611851161608673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06412478336221837,0.06007067137809187,0.06802721088435373,0.05964912280701754,0.06007067137809187,0.03333333333333333,0.09068627450980392,0.008,0.007462686567164179,0.0847457627118644,0.08860759493670886,0.1710188645265859,0.17237356355363706,0.17144055873116687,0.06412478336221837,0.0,0.0,0.13167259786476868,0.009478672985781991,0.0,0.0,0.16097560975609757,0.027149321266968326,0.559415395080076,0.022905813280410154,0.19918476787340345,0.10128451203307243,0.33528693528693543,0.7422384403150808,0.7976285153101039,0.05597671585217273,0.0,0.5879475846018358,0.19705790437073084,0.0,0.4416055122357996,0.0,0.11439251148901923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0779896013864818,0.07773851590106007,0.07823129251700679,0.07017543859649122,0.07773851590106007,0.06666666666666667,0.1053921568627451,0.016,0.014925373134328358,0.11016949152542373,0.05063291139240506,0.20793750844176306,0.20900659161173657,0.20860109176340522,0.0779896013864818,0.0,0.0,0.16370106761565836,0.004739336492890996,0.0,0.0,0.2146341463414634,0.013574660633484163,0.9477906528076663,0.016745224510047136,0.14405326793059003,0.06934291664965087,0.3196217494089836,0.6341099428206114,0.7481567203546418,0.09171517530797346,0.0,0.6068094336021542,0.2629394549338734,0.0,0.5027016828830391,0.0,0.13223490544060654,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07972270363951472,0.07773851590106007,0.08163265306122448,0.07017543859649122,0.07773851590106007,0.08333333333333333,0.11519607843137254,0.004,0.0037313432835820895,0.10734463276836158,0.11392405063291139,0.2125523389311602,0.21307822434813042,0.21324615839243502,0.07972270363951472,0.0,0.0,0.16014234875444838,0.014218009478672987,0.0,0.0,0.1951219512195122,0.03619909502262444,0.8853388407991312,0.06330108327131398,0.853844544259644,0.32461612284069086,0.5712301587301587,0.49598055515684436,0.7449876384885903,0.056078245566535796,0.0,0.5894954432301851,0.2952988972721997,0.0,0.524213036585536,0.0,0.13995425570215378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08492201039861351,0.08480565371024736,0.08503401360544217,0.07017543859649122,0.08480565371024736,0.1,0.10784313725490197,0.028,0.026119402985074626,0.11016949152542373,0.06329113924050633,0.22639683039935166,0.23022808143265475,0.2271813582795244,0.08492201039861351,0.0,0.0,0.17437722419928825,0.009478672985781991,0.0,0.0,0.2146341463414634,0.031674208144796386,0.8745331657989859,0.0578847267013975,0.6927466838174497,0.17805125889127238,0.3598506069094304,0.5265936239095339,0.7307614338471844,0.02957899011777447,0.0,0.5729200083593263,0.3286367826294766,0.0,0.5035872594746316,0.0,0.1371693597916093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0779896013864818,0.07773851590106007,0.07823129251700679,0.08070175438596491,0.07773851590106007,0.016666666666666666,0.10049019607843138,0.024,0.022388059701492536,0.10734463276836158,0.0379746835443038,0.20793750844176306,0.20815493204223298,0.20860109176340522,0.0779896013864818,0.0,0.0,0.1494661921708185,0.023696682464454978,0.0,0.0,0.08780487804878048,0.13122171945701358,0.9076086081172217,0.04266931282560159,0.40911384322766386,0.11099767223424661,0.27078689631881125,0.5863208214612534,0.7401707536025928,0.0958102071206173,0.0,0.5787461298777395,0.2900569269334782,0.0,0.4768371828371549,0.0,0.06063237256189245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06239168110918544,0.06360424028268552,0.06122448979591837,0.05964912280701754,0.06360424028268552,0.03333333333333333,0.09313725490196079,0.0,0.0,0.0903954802259887,0.0759493670886076,0.16651659087839357,0.16722860642827977,0.1667954921021371,0.06239168110918544,0.0,0.0,0.12455516014234874,0.014218009478672987,0.0,0.0,0.16097560975609757,0.022624434389140274,0.5877628937234638,0.07864053584718432,0.5038548034202622,0.3467016870390949,0.42121971595655805,0.33148376179432404,0.7775006807587201,0.08995532692568024,0.0,0.5956562184045936,0.23073891926566276,0.0,0.44968740440266686,0.0,0.11550435206167008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
